Soil_Quality,Fertilizer_Amount_kg_per_hectare,Sunny_Days,Rainfall_mm,Irrigation_Schedule,Yield_kg_per_hectare
93.30472076220141,132.5222176089096,96.67092180524013,602.3862371830157,3,278.9865634507636
83.67465323517892,57.283997062155905,99.00755589090961,466.51825061329794,8,836.4348404339313
65.96303292087656,227.89547903206733,104.84427230130204,510.3204954871706,4,785.8817872406772
78.69283434,176.31412646519567,90.13619142726779,354.3509138608812,5,807.8845255239556
72.41568444802135,160.07041843888925,101.22166820906347,443.99378753681185,10,1064.5423739926212
62.697082129751294,268.4393923,99.97070954318944,485.2230556,8,1003.2294104429473
92.94284547818255,271.48875489157376,97.32805072723787,447.40357429028336,2,758.7169156453754
75.51871560185674,84.04746531680979,94.75341144836283,690.5719976084528,3,541.1774872649454
93.67381587620807,79.38603886631572,97.55854290021595,674.7335451115821,4,567.8555395407234
86.60711095698508,76.43084086510095,98.94532756779138,562.6974408514623,6,765.0789540076829
85.72536031218299,159.87940127301124,90.59870959980843,302.0816715721976,5,836.7379702
66.34764255210044,178.11199823701884,104.52126279907944,301.8618313014042,4,520.1013999
57.774362972134135,69.45460229588878,92.01144800045492,699.2086202774202,5,523.1796610604523
72.66551273032401,95.23810178580558,109.42902842189834,604.7771609242369,3,653.1458198705407
62.21723141333332,253.62938128948466,89.87761423,646.2919555,8,725.4563743221406
69.52915464665645,120.46512832053733,102.70152131060232,503.0365124610263,6,764.9045221739536
96.98848634807531,282.7948559728841,103.14826323735785,533.2743885858287,6,641.4317656840165
79.45491795631457,272.9068314674753,103.57240240410219,530.6939126333348,6,926.9777570020557
52.464262953677924,170.92695099820537,116.40933538724278,433.8201392576362,2,394.1821504298714
93.49831204974456,121.67101650045323,101.13376914787005,560.7322079192654,5,446.71543537070323
95.64273463075192,288.59722932648083,104.93067096304502,292.21734397585215,7,1140.1587438061856
52.07145437344777,164.90949280791148,89.01938706923417,384.69191131294167,3,342.83267897237135
98.30737228135857,167.03208639807062,105.9314749614848,572.8184284356461,3,381.8160556341452
88.98252958239107,71.88050460038038,110.93272074936641,372.82924421831467,3,731.3605988900091
72.01969044564075,138.92702535047763,92.84450321102415,549.3577285802452,7,565.5408795034948
60.35626454335964,221.61935594514978,107.23526875510794,423.88464946377496,6,627.1574424040031
78.60571720860273,99.02494220488815,95.98034074,615.2209265,2,650.3601625846949
68.43635820565737,180.7200616885954,79.81977060369303,310.85175130283403,6,902.0386052210519
74.83836499392407,185.60123798707235,96.84508245,562.7621033019908,5,780.0402002661476
74.48947760388592,252.5966681125006,98.71480600926792,380.94156341132236,3,494.2548545737323
93.72935538812808,245.76194399525824,102.12591932638796,505.23890068423464,5,611.6200091018974
72.08230761882524,278.1510751339668,100.34424947510463,488.8224717285602,4,827.4184444537224
89.60057707,99.91625925363577,100.81603157061055,542.0859174351364,4,417.7470507678898
87.96248350769899,227.65997816784397,88.39476794435687,537.3838374751798,5,508.0963567410009
65.79950780202222,159.41673808376441,90.30714796,340.3882440188017,5,499.72276245590564
58.235379017367244,266.19204689961737,108.57512579509867,337.4776024391251,4,935.0566423531947
94.29354488896763,194.35845881719138,98.57097622596262,451.7874380725827,6,526.3048459
61.07913680862474,62.23770796514617,101.87199881648164,527.8213666769003,5,738.7339621542245
53.00048393148233,247.81769569655398,106.80613762018423,685.2886270597378,6,831.4658465064238
58.88784934888699,95.38197600044202,97.52684737999687,550.0775100121273,6,452.0855308723159
59.57702818239938,92.98363373,104.01634533938754,475.69802201932464,5,772.8584449050672
70.12575484975005,133.3885697,115.7203109877578,471.48397708774485,7,888.6764948878929
63.49031432486122,145.6244633025011,81.16466890024707,526.8384859548769,9,934.5281337615603
71.10084364513894,159.12022877307317,98.85953371908442,570.8605665411616,7,833.2071428681927
73.57846094,74.96876236172125,103.32139827557295,492.58599769955356,6,754.4941096161535
73.57398584,71.26711012,83.00627137343884,496.66652865693607,5,666.8406663983882
71.93007567311602,182.3137012830315,104.18128527242231,490.9438203664986,7,854.1988197295219
52.21630947806364,246.97201886406157,111.0918761207223,594.1046521,4,448.0718348
78.49824553506325,54.77303494,92.65795505943021,593.0071877437356,5,600.7822357160285
61.89375862876014,73.39311441,88.75935114738915,573.2446865460363,7,769.4340434919291
